Game_Index,Home_Team,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Opp,FGA_Opp,FG_Pct_Opp,Three_Pt_Opp,Three_Pt_Attempts_Opp,Three_Pt_Pct_Opp,Free_Throws_Opp,Free_Throw_Attempts_Opp,Free_Throw_Pct_Opp,Offensive_Rebounds_Opp,Total_Rebounds_Opp,Assists_Opp,Steals_Opp,Blocks_Opp,Turnovers_Opp,Personal_Fouls_Opp,Result
1303,canisius,fairfield,72,68,25,54,0.463,10,25,0.4,12,18,0.667,5,23,18,10,8,13,16,33,66,0.5,11,25,0.44,10,17,0.588,11,40,15,3,4,13,17,W
1312,central-arkansas,arkansas-little-rock,78,65,27,53,0.509,10,20,0.5,14,19,0.737,4,36,17,5,2,17,20,27,66,0.409,7,25,0.28,4,21,0.19,14,39,14,9,2,16,20,W
1314,central-arkansas,arkansas-little-rock,85,82,31,65,0.477,12,32,0.375,11,13,0.846,16,29,15,5,1,14,19,30,47,0.638,4,11,0.364,18,21,0.857,4,22,17,8,1,19,15,W
1325,central-arkansas,abilene-christian,56,79,15,50,0.3,4,20,0.2,22,30,0.733,8,31,7,7,3,20,16,28,60,0.467,6,20,0.3,17,24,0.708,10,35,18,10,6,12,21,L
1350,central-connecticut-state,bryant,60,63,25,62,0.403,5,19,0.263,5,6,0.833,11,36,8,1,5,10,14,22,53,0.415,9,25,0.36,10,13,0.769,5,30,10,5,4,8,12,L
1353,central-connecticut-state,bryant,64,59,20,56,0.357,7,18,0.389,17,21,0.81,14,44,12,1,2,16,15,21,66,0.318,8,31,0.258,9,13,0.692,11,34,6,6,1,11,20,W
1397,central-michigan,akron,88,86,34,68,0.5,9,22,0.409,11,15,0.733,10,32,15,5,2,11,14,33,75,0.44,10,35,0.286,10,13,0.769,12,37,12,4,3,7,17,W
1401,central-michigan,akron,67,70,24,62,0.387,9,22,0.409,10,19,0.526,12,41,12,3,0,9,19,24,65,0.369,5,27,0.185,17,23,0.739,12,43,12,5,5,13,17,L
1405,central-michigan,buffalo,76,90,26,60,0.433,10,28,0.357,14,21,0.667,9,32,12,10,0,21,23,34,62,0.548,8,24,0.333,14,22,0.636,8,32,23,11,5,15,17,L
1406,central-michigan,bowling-green-state,72,79,25,63,0.397,10,27,0.37,12,18,0.667,12,36,14,6,3,15,21,35,61,0.574,5,15,0.333,8,9,0.889,3,27,8,6,2,12,15,L
1409,central-michigan,ball-state,64,57,24,65,0.369,6,19,0.316,10,20,0.5,16,45,5,12,3,17,13,22,56,0.393,3,17,0.176,10,13,0.769,6,32,14,8,6,21,19,W
1477,chicago-state,cal-state-bakersfield,73,86,22,46,0.478,6,16,0.375,23,27,0.852,3,27,14,1,2,14,19,32,71,0.451,10,27,0.37,12,18,0.667,11,31,12,7,2,6,20,L
1482,chicago-state,cal-state-bakersfield,62,75,20,54,0.37,7,13,0.538,15,20,0.75,8,26,14,3,2,11,18,29,55,0.527,6,15,0.4,11,17,0.647,10,35,14,3,2,10,18,L
1492,cincinnati,arkansas-pine-bluff,105,49,41,64,0.641,11,19,0.579,12,18,0.667,8,30,19,13,6,14,17,16,50,0.32,4,21,0.19,13,17,0.765,9,25,11,7,0,29,19,W
1511,cincinnati,central-florida,60,55,21,52,0.404,7,14,0.5,11,12,0.917,10,25,13,3,4,13,13,21,45,0.467,9,20,0.45,4,7,0.571,4,19,11,4,5,15,11,W
