Home_Team,Opponent,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls
abilene-christian,Texas A&M-Corpus Christi,texas-am-corpus-christi,78,71,25,59,0.424,12,24,0.5,16,21,0.762,14,32,17,12,3,14,22
abilene-christian,Lamar,lamar,75,64,25,59,0.424,5,15,0.333,20,26,0.769,9,33,14,7,3,10,25
abilene-christian,Sam Houston State,sam-houston-state,85,90,32,58,0.552,7,18,0.389,14,20,0.7,4,24,11,6,1,20,23
abilene-christian,Nicholls State,nicholls-state,64,48,24,60,0.4,4,19,0.211,12,14,0.857,6,37,15,7,3,7,12
abilene-christian,Incarnate Word,incarnate-word,68,48,26,52,0.5,7,23,0.304,9,12,0.75,7,25,16,9,3,12,18
abilene-christian,Southeastern Louisiana,southeastern-louisiana,66,75,21,54,0.389,8,24,0.333,16,21,0.762,9,22,13,7,4,9,21
air-force,Johnson & Wales,#N/A,90,65,35,61,0.574,9,16,0.563,11,18,0.611,11,41,22,5,1,14,17
air-force,Texas State,texas-state,57,67,19,46,0.413,8,26,0.308,11,15,0.733,5,31,14,2,2,16,21
air-force,UMBC,maryland-baltimore-county,72,77,26,63,0.413,5,26,0.192,15,21,0.714,5,36,10,5,2,20,23
air-force,South Dakota,south-dakota,65,62,24,40,0.6,4,11,0.364,13,21,0.619,3,31,8,4,5,22,21
air-force,High Point,high-point,62,69,22,55,0.4,6,24,0.25,12,16,0.75,11,29,12,2,2,12,20
air-force,Colorado,colorado,56,93,20,54,0.37,1,13,0.077,15,28,0.536,5,22,3,6,1,12,17
air-force,Missouri State,missouri-state,88,69,31,53,0.585,17,28,0.607,9,11,0.818,6,27,23,5,0,14,19
air-force,Pacific,pacific,69,82,26,49,0.531,7,23,0.304,10,13,0.769,4,24,13,3,0,10,16
air-force,Denver,denver,73,65,24,50,0.48,7,26,0.269,18,21,0.857,5,31,18,7,3,12,16
air-force,Army,army,61,66,21,48,0.438,8,20,0.4,11,24,0.458,5,39,14,4,4,19,18
air-force,Michigan,michigan,50,71,21,45,0.467,2,11,0.182,6,12,0.5,3,24,8,4,1,18,15
air-force,UC-Riverside,california-riverside,72,60,25,45,0.556,8,16,0.5,14,19,0.737,6,30,10,5,2,15,14
air-force,New Mexico,new-mexico,58,65,24,63,0.381,2,15,0.133,8,12,0.667,10,32,17,10,2,14,17
air-force,Utah State,utah-state,62,79,22,56,0.393,10,28,0.357,8,10,0.8,4,16,14,5,2,9,16
air-force,Colorado State,colorado-state,64,87,27,52,0.519,4,14,0.286,6,8,0.75,6,23,7,4,0,16,11
air-force,San Diego State,san-diego-state,62,48,23,59,0.39,9,28,0.321,7,10,0.7,11,37,12,8,2,9,17
air-force,UNLV,nevada-las-vegas,106,88,40,67,0.597,9,20,0.45,17,20,0.85,10,34,20,2,2,6,21
air-force,Nevada,nevada,52,67,19,51,0.373,6,22,0.273,8,9,0.889,3,28,11,5,0,21,24
air-force,Boise State,boise-state,74,60,26,48,0.542,5,16,0.313,17,21,0.81,8,39,14,1,4,16,18
air-force,San Jose State,san-jose-state,73,71,29,85,0.341,11,47,0.234,4,14,0.286,13,49,18,7,1,7,21
air-force,San Diego State,san-diego-state,51,66,21,56,0.375,4,17,0.235,5,5,1,3,26,15,9,2,10,13
air-force,Colorado State,colorado-state,53,85,16,49,0.327,8,29,0.276,13,19,0.684,5,22,9,4,0,11,18
air-force,Wyoming,wyoming,81,76,32,60,0.533,4,14,0.286,13,21,0.619,6,31,15,10,1,5,11
air-force,UNLV,nevada-las-vegas,72,77,30,59,0.508,8,18,0.444,4,7,0.571,11,30,15,5,0,15,12
air-force,Utah State,utah-state,62,76,21,50,0.42,7,18,0.389,13,19,0.684,4,25,6,2,2,14,18
air-force,Fresno State,fresno-state,64,61,23,56,0.411,10,31,0.323,8,19,0.421,4,37,10,7,4,12,16
air-force,San Jose State,san-jose-state,82,68,31,78,0.397,11,33,0.333,9,11,0.818,16,41,23,5,2,5,18
akron,Cedarville,#N/A,70,50,24,60,0.4,11,31,0.355,11,15,0.733,8,42,12,6,5,11,15
akron,Youngstown State,youngstown-state,98,69,36,64,0.563,7,22,0.318,19,26,0.731,9,33,12,5,1,5,18
akron,Chicago State,chicago-state,87,46,28,53,0.528,11,29,0.379,20,34,0.588,4,29,13,10,7,14,24
